Query,Answer
Farmer asked query on Weather,"CLOUDY WEATHER, NO  CHANCE OF  SHOWERS IN YOUR AREA  
మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది.జల్లులు పడే అవకాశం లేదు.

"
Farmer asked query on Weather,"CLOUDY WEATHER, NO  CHANCE OF  SHOWERS IN YOUR AREA  
మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది.జల్లులు పడే అవకాశం లేదు.

"
Farmer asked query on Weather,మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది.వర్షం  పడే అవకాశం లేదు.
FRUIT SPOT MANAGEMENT IN MANGO?,RECOMMENDED TO SPRAY HEXACONAZOLE (CONTALF ) 5 E.C 2 ML/1 LTR OF WATER 400 ML/ACRE
Farmer asked query on Weather,"మీ ప్రాంతం లో వాతావరణం ఎండా  మబ్బులుగా ఉంటుంది వర్షము పడే అవకాశం లేదు.
Weather in your area is sunny and cloudy with no chance of rain.
"
Farmer asked query on Weather,"CLOUDY WEATHER, NO CHANCE OF SHOWERS IN YOUR AREA
 మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది.వర్షం  పడే అవకాశం లేదు."
Farmer asked query on Weather,"DRY WEATHER, NO CHANCE OF SHOWERS IN YOUR AREA 
మీ ప్రాంతములో వాతావరణం పొడిగా ఉంటుంది.జల్లులు పడే అవకాశం లేదు
"
Farmer asked query on Weather,"మీ ప్రాంతంలో వాతావరణం ఎండ,మబ్బులుగా ఉంటుంది.
"
FARMER ASKED QUERY ON BABY CORN CROP PRODUCTION ,విత్తిన 50-60 రోజుల తర్వాత బేబీ కార్న్ కోతకు సిద్ధంగా ఉంటుంది. కండేలు సిల్కింగ్ అయిన 2-3 రోజుల లోపు కోయలి
"FARMER ASKED QUERY ABOUT PM KISAN BENEFICIARY STATUS
",#NAME?
Farmer asked query on Weather,"మీ ప్రాంతంలో వాతావరణం ఎండ,మబ్బులుగా ఉంటుంది.
"
Farmer asked query on Weather,"CLOUDY WEATHER, NO CHANCE OF SHOWERS IN YOUR AREA మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది.వర్షం  పడే అవకాశం లేదు"
Farmer asked query on Weather,"THERE IS CHANCE OF CLOUDY WEATHER IN YOUR AREA 
మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది.
"
Farmer asked query on Weather,"CLOUDY WEATHER, NO CHANCE OF SHOWERS IN YOUR AREA మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది.వర్షం  పడే అవకాశం లేదు"
Farmer asked query on Weather,"మీ ప్రాంతంలో వాతావరణం ఎండ, మబ్బులుగా ఉంటుంది , వర్షం పడే అవకాశం లేదు."
FARMER ASKED QUERY ABOUT PM KISAN SAMMAN NIDHI YOJANA STATUS ,"Reason of Stop Payment (If Any) :Not Eligible
 RECOMMENDED TO CONTACT --  B. SURESH BABU NAIK--8331056867 FOR FURTHER DETAILS."
Farmer asked query on Weather,"CLOUDY WEATHER, NO CHANCE OF SHOWERS IN YOUR AREA మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది.వర్షం  పడే అవకాశం లేదు."
Farmer asked query on Weather,"CLOUDY WEATHER, THERE IS A CHANCE OF  SHOWERS IN YOUR AREA  
మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది.జల్లులు పడే అవకాశం ఉంది.
"
Farmer asked query about sugar cane varieties? ,"* కృష్ణ రకం 45-50 తన్నులు ఏకానికి దిగుబడి వస్తుంది.
* పంచదార 19-20%
* ఎర్రకుల్లు, కటుక తెగులును తట్టుకుంటుంది"
Farmer asked query on Weather,"CLOUDY WEATHER, THERE IS A CHANCE OF  SHOWERS IN YOUR AREA  
 మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది.వర్షం  పడే అవకాశం ఉంది."
Farmer asked query on Weather,"THERE IS CHANCE OF CLOUDY WEATHER IN YOUR AREA 
మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది.
"
Farmer asked query on Weather,"CLOUDY WEATHER, NO CHANCE OF SHOWERS IN YOUR AREA మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది.వర్షం  పడే అవకాశం లేదు."
Farmer asked query about sowing time of sesamum ?,"kharif : may 15 - may 31
rabi : December 15 - January 31  
sesamum sowing time"
Farmer asked query on Weather,మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది.జల్లులు పడే అవకాశం ఉంది.
Farmer asked query on Weather,"CLOUDY WEATHER, THERE IS A CHANCE OF  SHOWERS IN YOUR AREA  
 ఈరోజు మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది.జల్లులు పడే అవకాశం ఉంది.

"
Farmer asked query on Weather,"THERE IS CHANCE OF CLOUDY WEATHER IN YOUR AREA 
మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది.
"
FARMER ASKED QUERY ABOUT CROP DURATION OF syngenta hybrid corn seed7884 ?,Crop Duration	165 to 170 days (Eastern India) 125 to 130 days (Rest of India)
FARMER ASKED QUERY ABOUT WATER MANAGEMENT IN MAIZE?,"సాధారణంగా పంట కాలంలో 6-8 నీటి తడులు అవసరం. వితేటప్పుడు ,విత్తిన 15 రోజులకు,30-35  రోజులకు,పూత దశలో ,పూత వచ్చిన 15 రోజులకు మరియు గింజ పాలు పోసుకునే దశలో నీటి తడులు తప్పకుండ ఇవ్వాలి. "
Farmer asked query on Weather,"THERE IS CHANCE OF CLOUDY WEATHER IN YOUR AREA 
మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది.
"
Farmer asked query on Weather,"మీ ప్రాంతములో వాతావరణం ఎండ,మబ్బులుగా ఉంటుంది.జల్లులు పడే అవకాశం ఉంది."
Farmer asked query on Weather,"CLOUDY WEATHER, THERE IS A CHANCE OF  SHOWERS IN YOUR AREA  
మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది.జల్లులు పడే అవకాశం ఉంది"
farmer asked query on spacing of coconut plantation ?,-Spacing: A spacing of 7.5 x 7.5 m is generally recommended for Coconut
Farmer asked query on Weather,"CLOUDY WEATHER, NO CHANCE OF SHOWERS IN YOUR AREA మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది.వర్షం  పడే అవకాశం లేదు."
Farmer asked query on Weather,"CLOUDY WEATHER, THERE IS A CHANCE OF  SHOWERS IN YOUR AREA  
మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది.జల్లులు పడే అవకాశం ఉంది.
"
Farmer asked query on Weather,"THERE IS CHANCE OF CLOUDY WEATHER IN YOUR AREA 
మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది.
"
farmer asked query on mites management in bottle gourd ? ,"RECOMMENDED TO SPRAY TOLFENPYRAD 15% EC (PI-KEEFUN) 400 ML/200 LITRES OF WATER / ACRE - MITES & SUCKING PESTS  
టోల్ ఫెన్ ఫైరాడ్ (కీఫన్) 400 మిల్లి లీటర్లు /200 లీటర్ల నీటికి చొప్పున కలిపి ఒక ఎకరాకు పిచికారి చేయాలి "
FARMER ASKED QUERY ON CROP INSURANACE,"PLEASE CONTACT YOUR MANDAL AGRICULTURAL OFFICER 
దయచేసి  మీ  మండల వ్యవసాయ అధికారిని సంప్రదించండి
"
farmer asked query on water management in brinjal ? ,"
వేసవి లో నాలుగు లేడ ఐదు రోజులకు ఒకసారి నీతి తాడి ఇవ్వాలి"
farmer asked about PM kisan 17th installment releasing date, 17th installment may release in June to july
tomato yield ?,depend on the variety  7-14 tones acre 
"FARMER ASKED QUERY ON STEM BORER MANAGEMENT IN PADDY?
","RECOMMENDED TO  APPLY  CHLORANTRANILIPROLE GRANULES 4 KGS/ACRE 
 క్లోరాంత్రనిలిప్రోల్ గుళికలు 4 కిలోలు /1 ఎకరాకు వేసుకోవాలి 
OR
RECOMMENDED TO  APPLY  ADAMA BARROZ (Cartap Hydrochloride + Emamectin Benzoate)- 3KG/ACRE -PADDY STEM BORER
"
FARMER ASKED QUERY ON CURRY LEAF INFORMATION,RECOMMENDED TO CONTACT HORTICULTURE OFFICER 7995086773
FARMER ASKED ABOUT CROPS SOWN IN THIS SEASON,"SUGGESTED TO SOW BRINJAL, BHINDI, DRUMSTICK"
MUSTARD SEED DISTANCE ?, RECOMMENED TO  SEED DISTANCE 45* 15-20 CM 
FARMER ASKED QUERY ON TURMERIC PRICE,"                                                                                            Min Price	Modal Price	Max Price
ANDHRA PRADESH	KADAPA	TURMERIC FINGER	7,500	    7,500	         14,712"
farmer asked about Sooty mold (masi mangu) management in mango,"2kg starch powder add to 3 to 4lit luke warm water and boil it for few minute after that add 100lit water 

spray during hot season
2 కిలోల స్టార్చ్ పౌడర్‌ను 3 నుండి 4 లీటర్ల గోరువెచ్చని నీటిలో వేసి కొన్ని నిమిషాలు ఉడకబెట్టిన తర్వాత 100 లీటర్ల నీటిని జోడించండి.

వేడి సీజన్లో పిచికారీ చేయాలి"
jasmine Blossom midge control management ?,"నొవాల్యురాన్ (రెమోన్)  300 మిల్లి లీటర్లు  / 200 లీటర్ల నీటికి చొప్పున కలిపి ఎకరాకు పిచికారి చేయాలి

వేప నూనె 1 లీటర్ /200 లీటర్ల నీటికి చొప్పున కలిపి  ఒక  ఎకరాకు  పిచికారి చేయాలి(5 మిల్లి లీటర్లు / 1  లీటర్ నీటికి)
"
"FARMER ASKED QUERY ON PM KISAN SAMMAN NIDHI SCHEME BENIFICIARY STATUS
","Due to application migration and maintenance activities, the services of PM-Kisan portal will not be available from 31st March, 2024 to 3rd April, 2024.
Portal with full functionalities will be available from 04 April 2024"
"FARMER ASKED QUERY ON PM KISAN SAMMAN NIDHI SCHEME?
","RECOMMENDED TO CALL AFTER SOME TIME DUE TO SITE PROBLEM
దయచేసి కొంచెం సమయం తరువాత తిరిగి మరల కాల్ చేయండి.
"
FARMER ASKED QUERY ON PM KISAN SAMMAN NIDHI,https://pmkisan.gov.in/KnowYour_Registration.aspx
Farmer asked query on Weather,"THERE IS CHANCE OF CLOUDY WEATHER IN YOUR AREA 
మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది.
"
"FARMER ASKED QUERY ON PM KISAN SAMMAN NIDHI SCHEME
","Record not found with given details !!!
దయచేసి  మీ  మండల వ్యవసాయ అధికారిని సంప్రదించండి
"
Farmer asked query about pm kisan samman nidhi scheme?,pleas call again
"FARMER ASKED QUERY ON PM KISAN SAMMAN NIDHI SCHEME BENIFICIARY STATUS?
",#NAME?
FARMER ASKED QUERY ON PM KISAN SAMMAN NIDHI SCHEME BENIFICIARY STATUS,RECOMMENDED TO CALL AGAIN AFTERSOMETIME BECAUSE UNABLE TO OPEN PM KISAN WEBSITE DUE TO TECHNICAL ISSUE.
FARMER ASKED QUERY ON PM KISAN SAMMAN NIDHI SCHEME BENIFICIARY STATUS,https://pmkisan.gov.in/BeneficiaryStatus_New.aspx
FARMER ASKED QUERY ABOUT NUTRIENT MANAGEMENT IN SESAMUM ,RECOMMENDED TO GIVE NANO UREA-500 ML PER 200 LITERS OF WATER PER ACRE.
FARMER ASKED QUERY ABOUT PM KISAN SAMMAN NIDHI YOJANA STATUS ,--PLEASE CONTACT YOUR MANDAL AGRICULTURAL OFFICER FOR FURTHER DETAILS  దయచేసి  మీ  మండల వ్యవసాయ అధికారిని సంప్రదించండి
"FARMER ASKED QUERY ON PM KISAN SAMMAN NIDHI SCHEME BENIFICIARY STATUS
","Reason of ineligibility :
Untraceable Beneficiary"
Farmer asked query on Weather,మీ ప్రాంతములో వాతావరణం పొడిగా ఉంటుంది 
FARMER ASKED QUERY ON NUTRIENT MANGEMENT IN WATERMELON,"-RECOMMENDED TO SPRAY NPK 19-19-19 MIXTURE 5 GRAMS/ LITRE OF WATER 
NPK 19-19-19  5 గ్రాములు లీటరు నీటికి కలిపి  పిచికారీ చేయండి 
-RECOMMENDED TO SPRAY AGROMINIMAX 600 GRAMS / 200 LITER OF WATER 
అగ్రోమింమాక్స్ ఎకరానికి 600 గ్రాములు 200 లీటర్ల నీటికి కలిపి పిచికారీ చేయాలి  
"
"  FARMER ASKED QUERY ON PM KISAN SAMMAN NIDHI SCHEME?
","RECOMMENDED TO CALL AGAIN(SAY OTP WHILE ON CALL)
తిరిగి మరల కాల్ చేయండి(కాల్ లో ఉన్నప్పుడే OTP  చెప్పాలి.)

"
FARMER ASKED QUERY ON UNABLE TO GET PMKISAN  INSTALLMENT ,RECOMMENDED TO CONTACT YOUR AGRICULTURAL OFFICER 
FARMER ASKED QUERY ON PM KISAN SAMMAN NIDHI SCHEME BENIFICIARY STATUS?,#NAME?
FARMER ASKED QUERY ON PMKISAN BENEFICIARY STATUS ,https://pmkisan.gov.in/BeneficiaryStatus_New.aspx
FARMER ASKED QUERY ON PMKISAN BENEFICIARY STATUS ,"RECOMMENDED TO CONTACT YOUR AGRICULTURAL OFFICER 
దయచేసి  మీ  మండల వ్యవసాయ అధికారిని సంప్రదించండి
"
FARMER ASKED QUERY ON SUCKING PESTS MANAGEMENT IN WATERMELON ,"RECOMMENDED TO SPRAY DIFENTHIURON (PEGASUS) 240 GM /150 LITRES OF WATER /ACRE 
డిఫెంతియూరోన్ (పెగాసస్) 240 గ్రాములు /150 లీటరు నీటికి కలిపి ఎకరానికి పిచికారీ చేయాలి"
FARMER ASKED QUERY ON BORER MANAGEMENT IN BRINJAL ,"RECOMMENDED TO SPRAY PROFENOPHOS (CURACRON) 400 ML/200 LITRES OF WATER / ACRE 
ప్రోఫెనోఫాస్ (కురక్రాన్) 400 మిల్లి లీటర్లు /200 లీటర్ల నీటికి చొప్పున కలిపి ఒక ఎకరాకు పిచికారి చేయాలి
"
"FARMER ASKED QUERY ON PM KISAN SAMMAN NIDHI SCHEME
","RESON OF INELIGIBILITY : LAND DOES NOT STAND IN HIS/HER NAME
దయచేసి  మీ  మండల వ్యవసాయ అధికారిని సంప్రదించండి
"
"FARMER ASKED QUERY ON PM KISAN SAMMAN NIDHI SCHEME
","Registration Date : 24-03-2023
Reason for Rejection : land detals not availble
Status : Rejected By Sub-District/Block
దయచేసి  మీ  మండల వ్యవసాయ అధికారిని సంప్రదించండి
"
Farmer asked query about pest management in onion?,"ఫిప్రోనిల్ (రీజెంట్) 400  మిల్లి లీటర్లు /200 లీటర్ల నీటికి చొప్పున కలిపి ఒక ఎకరాకు పిచికారి చేయాలి  
లేదా
 డైమిథోయేట్ (రోగర్) 400 మిల్లి లీటర్లు /200 లీటర్ల నీటికి చొప్పున కలిపి ఒక ఎకరాకు పిచికారి చేయాలి 
"
Farmer asked query about disease management in onion?,"మాంకోజెబ్ (M-45) 600 గ్రాములు /200 లీటర్ల నీటికి /ఎకరానికి కలిపి పిచికారీ చేయాలి 
"
nano urea dosage ?,DOSAGE. Quantity of Nano urea to be applied on crops. Mix 2-4 ml of Nano urea (4 % N) in one Litre of water and spray on crop leaves at its active growth .500 ml acre 
FARMER ASKED QUERY ABOUT NUTRIENT MANAGEMENT IN WATERMELON,"RECOMMENDED TO SPRAY POTASSIUM NITRATE 13-0-45 @ 5 GRAMS/1 LITER OF WATER(1KG/ACRE).
పొటాషియం  నైట్రేట్  13-0-45 @ 5 గ్రాములు లీటరు నీటికి కలిపి  పిచికారీ చేయండి. 
RECOMMENDED TO SPRAY BORAX 3 GRAMS /1 LITR OF WATER  (600 GRAMS /ACRE/200 LITER WATER ) బోరాక్స్ 3 గ్రాములు / 1 లీటరు నీటిని పిచికారీ చేయడానికి సిఫార్సు చేయబడింది."
FARMER ASKED QUERY ABOUT SUCKING PEST MANAGEMENT IN BHINDI ,RECOMMENDED TO SPRAY DIMETHOATE  (ROGER) 400 ML /200 LITRES OF WATER /ACRE డైమిథోయేట్  400 మిల్లి లీటర్లు /200 లీటర్ల నీటికి చొప్పున కలిపి ఒక ఎకరాకు పిచికారి చేయాలి-
"FARMER ASKED QUERY ON FERTILIZER MANAGEMENT IN COCONUT - POTASSIUM AND BORON DEFICIENCY
",RECOMMENDED TO APPLY MOP 2.5 KG + BORAX 100 GM PER TREE
Farmer asked query about paddy marketing ?,"8331056406	Visakhapatnam	B.Sandya	A.O.	Deverapalli
"
FARMER ASKED ABOUT DISEASE MANAGEMENT IN COCONUT,APPLY TRICHODERMA VIRIDI 50G PER PLANT
FARMER ASKED QUERY ON PM KISAN SAMMAN NIDHI SCHEME BENIFICIARY STATUS,"Reason of ineligiblity :
Untraceable Beneficiary"
Farmer asked query on Weather,"THERE IS CHANCE OF CLOUDY WEATHER IN YOUR AREA
మీ ప్రాంతంలో వాతావరణం మబ్బు లుగా ఉంటుంది 
"
FARMER ASKED QUERY ON PMKISAN BENEFICIARY STATUS,https://pmkisan.gov.in/BeneficiaryStatus_New.aspx
Farmer asked query on Weather,"మీ ప్రాంతములో వాతావరణం మబ్బులుగా  ఉంటుంది, జల్లులు  పడే అవకాశం ఉంది.
"
Farmer asked query on Weather,"మీ ప్రాంతంలో వాతావరణం ఎండ , మబ్బులుగా ఉంటుంది 
"
FARMER ASKED QUERY ABOUT PM KISAN SCHEME ?,దయచేసి వ్యవసాయ అధికారిని సంప్రదించండి
FARMER ASKED ABOUT STEM BORER MANAGEMENT IN PADDY,"RECOMMENDED TO SPRAY  TETRANILIPROLE 200 SC (BAYER VAYEGO) 100 ML / 200 LIT OF WATER/ACRE
టెట్రానిలిప్రోల్ 200 SC (బేయర్ వాయెగో) 100 మిల్లి లీటర్లు /200 లీటర్ల నీటికి చొప్పున కలిపిఒక ఎకరాకు పిచికారి చేయాలి 

"
FARMER ASKED QUERY ON LAND BOOK ISSUE ,"SPANDANA TOLL FREE NUMBER -1902 ,1800-425-4440"
Farmer asked query on Weather,"CLOUDY WEATHER, THERE IS A CHANCE OF  SHOWERS IN YOUR AREA  
మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది.జల్లులు పడే అవకాశం ఉంది.
"
FARMER ASKED QUERY ON PM KISAN SAMMAN NIDHI STATUS,"-Installment payment stopped by state on request of Districts
-Recommended to contact Technical AO 8331056462"
farmer asked query on weed management in maize ? ,RECOMMENDED TO SPRAY Bayer Laudis (TEMBOTRIONE) -115 ML /ACRE/ 200LITS OF WATER-
"FARMER ASKED QUERY ON SUCKING PEST MANAGEMENT IN SESAME
","RECOMMENDED TO SPRAY  FIPRONIL (REGENT) 400 ML / 200 LITRES OF WATER /ACRE  
 ఫిప్రోనిల్ 400  మిల్లి లీటర్లు /200 లీటర్ల నీటికి చొప్పున కలిపి ఒక ఎకరాకు పిచికారి చేయాలి 
"
FARMER ASKED QUERY ON BROWN PLANT HOPPER  MANAGEMENT IN PADDY?,"RECOMMENDED TO SPRAY ACEPHATE (STARTHEEN) 300 GRAMS/ 200 LITRES OF WATER / ACRE 
అసిపేట్ 300 గ్రాములు / 200 లీటర్ల నీటికి చొప్పున కలిపి ఒక ఎకరాకు పిచికారి చేయాలి 
"
"FARMER ASKED QUERY ON SUCKING PEST MANAGEMENT IN BHINDI,WATERMELON,BRINJAL",RECOMMENDED TO SPRAY DIMETHOATE  (ROGER) 400 ML /200 LITRES OF WATER /ACRE డైమిథోయేట్  400 మిల్లి లీటర్లు /200 లీటర్ల నీటికి చొప్పున కలిపి ఒక ఎకరాకు పిచికారి చేయాలి
FARMER ASKED QUERY ON PM KISAN SAMMAN NIDHI SCHEME,"PLEASE CONTACT YOUR MANDAL AGRICULTURAL OFFICER దయచేసి  మీ  మండల వ్యవసాయ అధికారిని సంప్రదించండి
"
Farmer asked query on Weather,"మీ ప్రాంతం లో ఈ రోజు వాతావరణం మబ్బులుగా ఉంటుంది, వర్షం పడే అవకాశం ఉంది."
Farmer asked query on Weather,"మీ  ప్రాంతంలో రేపు  ఉరుములతో కూడిన వర్షం పడే అవకాశం కలదు. 
"
Farmer asked query on Weather,మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది.వర్షం  పడే అవకాశం లేదు.
Farmer asked query on Weather,"CLOUDY WEATHER, THERE IS A CHANCE OF  SHOWERS IN YOUR AREA  
మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది.జల్లులు పడే అవకాశం ఉంది.
"
Farmer asked query on Weather,"ఈరోజు మీ ప్రాంతం లో వాతావరణం మబ్బులుగా ఉంటుంది. తెలిక పాటి నుండి మోస్తారు వర్షాలు పడే అవకాశం ఉంది.
Today Weather in your area is cloudy. There is a possibility of light raions to moderate rains.

"
Farmer asked query on Weather,"CLOUDY WEATHER, THERE IS A CHANCE OF  SHOWERS IN YOUR AREA  
మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది.జల్లులు పడే అవకాశం ఉంది.
"
Farmer asked query on Weather,"CLOUDY WEATHER, THERE IS A CHANCE OF  SHOWERS IN YOUR AREA  
మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది.వర్షం  పడే అవకాశం ఉంది.
"
FARMER ASKED QUERY ABOUT BORER MANAGEMENT IN SUNHEMP,"RECOMMENDED TO SPRAY PROFENOFOS (CURACRON) 400 ML/200 LITRES OF WATER /  ACRE 
 ప్రోఫెనోఫాస్  400 మిల్లి లీటర్లు   /200 లీటర్ల నీటికి చొప్పున కలిపి ఒక ఎకరాకు పిచికారి చేయాలి .
"
Farmer asked query on Weather,"మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది.జల్లులు పడే అవకాశం ఉంది.
"
Farmer asked query on Weather,"CLOUDY WEATHER, THERE IS A CHANCE OF  SHOWERS IN YOUR AREA  
మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది.జల్లులు పడే అవకాశం ఉంది"
Farmer asked query on Weather,మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది.జల్లులు పడే అవకాశం ఉంది.
farmer asked query on nutrient management in water melon?,-RECOMMENDED TO SPRAY BORAX 3 GRAMS /1 LITR OF WATER  (600 GRAMS /ACRE/200 LITER WATER ) బోరాక్స్ 3 గ్రాములు / 1 లీటరు నీటిని పిచికారీ చేయడానికి సిఫార్సు చేయబడింది.
FARMER ASKED QUERY ON PMKISAN BENEFICIARY STATUS ,"PMKISAN INSTALLMENTS ARE CREDITED ACCORDING TO STATUS IN THE PMKISAN PORTAL 
ఇన్‌స్టాల్‌మెనెట్‌లు మీ ఖాతా లో క్రెడిట్ అయినట్లు పోర్టల్ లో చూపిస్తుంది"
"FARMER ASKED QUERY ON PM KISAN SAMMAN NIDHI SCHEME
","PM కిసాన్ సమ్మాన్ నిధి పథకం మార్గదర్శకాల ఆధారంగా, 2019 తర్వాత తమ భూమిని నమోదు చేసుకున్న రైతులు ఈ పథకానికి అర్హులు కారు సర్
"
FARMER ASKED QUERY ON CATERPILLAR MANAGEMENT IN WATERMELON,"RECOMMENDED TO SPRAY PROFENOPHOS (CURACRON) 400 ML/200 LITRES OF WATER / ACRE 
ప్రోఫెనోఫాస్ (కురక్రాన్) 400 మిల్లి లీటర్లు /200 లీటర్ల నీటికి చొప్పున కలిపి ఒక ఎకరాకు పిచికారి చేయాలి
"
Farmer asked query on Weather,"మీ ప్రాంతంలో వాతావరణం ఎండ,మబ్బులుగా ఉంటుంది.
"
farmer asked query on nutrient management in water melon?,"-RECOMMENDED TO SPRAY POTASSIUM NITRATE 13-0-45 @ 5 GRAMS/1 LITER OF WATER(1KG/ACRE).
పొటాషియం  నైట్రేట్  13-0-45 @ 5 గ్రాములు లీటరు నీటికి కలిపి  పిచికారీ చేయండి. 
-RECOMMENDED TO SPRAY BORAX 3 GRAMS /1 LITR OF WATER  (600 GRAMS /ACRE/200 LITER WATER ) బోరాక్స్ 3 గ్రాములు / 1 లీటరు నీటిని పిచికారీ చేయడానికి సిఫార్సు చేయబడింది.
"
Farmer asked query on Weather,"CLOUDY WEATHER, NO CHANCE OF SHOWERS IN YOUR AREA మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది.వర్షం  పడే అవకాశం లేదు."
farmer asked query on dosage of imidacloprid?,"RECOMMENDED TO SPRAY IMIDACLOPRID (CONFIDOR) 60 ML/200 LITRES OF WATER /ACRE 
ఇమిడాక్లోప్రిడ్ 60 మిల్లి లీటర్లు /150 లీటర్ల నీటికి చొప్పున కలిపి ఒక ఎకరాకు పిచికారి చేయాలి"
TEST CALL,TEST CALL
"FARMER ASKED QUERY ABOUT SUCKING PEST(MITE,APHID ,WHITE FLY ) MANAGEMENT IN LEMON?","RECOMMENDED TO SPRAY DIFENTHIURON (PEGASUS) 240 GM /200 LITRES OF WATER /ACRE 
డిఫెంతియూరోన్ (పెగాసస్) 240 గ్రాములు /200 లీటరు నీటికి కలిపి ఎకరానికి పిచికారీ చేయాలి 
"
PM KISAN STATUS?,"
ప్రియమైన రైతు మీరు ఇటీవల నమోదు చేసుకున్నారు కాబట్టి మీ మొత్తాన్ని పొందడానికి చాలా సమయం పడుతుంది"
farmer asked about bacterial sheath rot management in paddy,"RECOMMENDED TO SPRAY HEXACONAZOLE (CONTAF , HEXAFINE) 400 ML /200 LITRES OF WATER / ACRE (L.S,BLI,D.BACK,D.M)  
హెక్సాకొనజోల్ (కాంటాఫ్) 400 మిల్లి లీటర్లు  / 200 లీటర్ల నీటికి చొప్పున కలిపి ఎకరాకు పిచికారి చేయాలి
"
"FARMER ASKED QUERY ON PM KISAN SAMMAN NIDHI SCHEME BENIFICIARY STATUS
","PLEASE CONTACT YOUR NEAREST MEESEVA  FOR DETAILS ABOUT THE SCHEME
"
FARMER ASKED HOW TO APPLY FOR pm kisan samman nidhi,#NAME?
"FARMER ASKED QUERY ON  FOR RYTHU BHAROSA
","PLEASE CONTACTVILLAGE AGRICULTURE ASSISTANT YOUR NEAREST RBK CENTRES IN YOUR ARE
"
"FARMER ASKED QUERY ON PM KISAN SAMMAN NIDHI SCHEME
","PLEASE DO RETURN CALL

ఫీడ్ బ్యాక్ ఇవ్వకుండా కాల్ కట్ చేయకండి SIR 	
"
FARMER ASKED QUERY ON PM KISAN SAMMAN NIDHI SCHEME BENIFICIARY STATUS,https://pmkisan.gov.in/BeneficiaryStatus_New.aspx
farmer asked query on nutrient management in groundnut?,"-RECOMMENDED TO APPLY CALCIUM NITRATE(CN)(16-0-0)- 1KG /ACRE/200LIT OF WATER
"
FARMER ASKED QUERY ON PM KISAN SAMMAN NIDHI SCHEME BENIFICIARY STATUS,https://pmkisan.gov.in/BeneficiaryStatus_New.aspx
"FARMER ASKED QUERY ON PM KISAN SAMMAN NIDHI SCHEME BENIFICIARY STATUS
",RECOMMENDED TO CHECK THE REGISTRATION NUMBER AND CALL AGAIN AFTER SOMETIME
FARMER ASKED QUERY ABOUT ALTERNATE FOR GREEN MANURE CROPS FOR MANURING THE FIELD.,#NAME?
FARMER ASKED QUERY ON LEAF BLIGHT MANAGEMENT IN PADDY ,"RECOMMENDED TO SPRAY AZOXYSTROBIN  +DIFENOCONAZOLE (Godiwa Super )  200 ML/200 LITERS OF WATER/ACRE
"
paddy stem borer control management ?,క్లోరాంత్రనిలిప్రోల్ (కోరాజిన్) 60 మిల్లి లీటర్లు /150 లీటర్ల నీటికి చొప్పున కలిపి  ఒక ఎకరాకు పిచికారి చేయాలికార్టాప్ హైడ్రోక్లోరైడ్ 400 గ్రాములు   / 200 లీటర్ల నీటికి చొప్పున  కలిపి ఒక ఎకరాకు పిచికారి చేయాలి  . 
FARMER ASKED QUERY ABOUT MITE MANAGEMENT IN IVY GOURD ,"RECOMMENDED TO SPRAY Tolfenpyrad 15% EC (PI-KEEFUN) 400 ML/200 LITRES OF WATER / ACRE    
టోల్ ఫెన్ ఫైరాడ్  400 మిల్లి లీటర్లు /200 లీటర్ల నీటికి చొప్పున కలిపి ఒక ఎకరాకు పిచికారి చేయాలి .
"
